Tetun (tdt),Mambai (mgm),English (eng),source
Ó bele haree insetu?,O leb ko pestin?,Can you see the stick insect?,mambae_ermera_graded_readers
Ó bele haree kuda-tasi?,O leb ko kud-taesa?,Can you see the sea dragon (seahorse)?,mambae_ermera_graded_readers
Ó bele haree borboleta?,O leb ko lakbesa?,Can you see the  moth?,mambae_ermera_graded_readers
Hela Fatin,Hela hatin,Animals' Homes   (Homes),mambae_ermera_graded_readers
Lenuk hela iha tasi.,Lenuk hela haer taesa,The sea is a home for a turtle.,mambae_ermera_graded_readers
Laho hela iha rai-kuak.,Laha hela haer rae goan,The hole is a home for a mouse.,mambae_ermera_graded_readers
Lekirauk hela iha ai-leten.,Lera hela haer ai-teten,The tree is a home for a monkey.,mambae_ermera_graded_readers
Tigre hela iha ai-laran.,Tigrin hela haer ai-lalan,The jungle is a home for a tiger.,mambae_ermera_graded_readers
Manu hela iha manu-knuuk.,Mana hela haer man-nuan,The nest is a home for a bird.,mambae_ermera_graded_readers
Ikan-fitun hela iha tasi.,Ika huita hela haer taesa,The rock pool (sea) is a home for a starfish.,mambae_ermera_graded_readers
Labadain hela iha labadain laran.,Lagloea hela her lagloea lalan,The web is a home for a spider.,mambae_ermera_graded_readers
Ha’u hela iha uma.,Au hela haer pada,The house is a home for me.,mambae_ermera_graded_readers
Teki Hamlaha,Tekin beli,Gecko is Hungry,mambae_ermera_graded_readers
"“Ha’u hamlaha,” Teki dehan.",Au beli' Tekin dale," “I am hungry,” said Gecko.",mambae_ermera_graded_readers
"“Ha’u han lalar ne’e,” Teki dehan.","Au mu lalan kid ia', tekin dale"," “I can eat this fly,” said Gecko.",mambae_ermera_graded_readers
"“Ha’u han kutun ne’e,” Teki dehan.","Au mu kutun kid ia,' tekin dale"," “I can eat this beetle,” said Gecko.",mambae_ermera_graded_readers
"“Ha’u han borboleta ne’e,” Teki dehan.","Au mu lakbesa kid ia,' tekin dale"," “I can eat this moth,” said Gecko.",mambae_ermera_graded_readers
"“Ha’u han gafaiñotu ne’e,” Teki dehan.","Au mu barkasa kid ia', tekin dale"," “I can eat this grasshopper,” said Gecko.",mambae_ermera_graded_readers
"“Ha’u han bani ne’e,” Teki dehan.","Au mu aena kid ia,' tekin dale"," “I can eat this bee,” said Gecko.",mambae_ermera_graded_readers
"“Ha’u han nehek ne'e,” Teki dehan.",Au mu mauhara kid ia' Tekin dale," “I can eat this ant,” said Gecko.",mambae_ermera_graded_readers
"“Ha’u han teki ne’e,” Samea dehan.","Au mu teki kid ia,'sokaia dale","“I can eat this gecko,” said Snake.",mambae_ermera_graded_readers
Iha Merkadu,Ni Merkadun,At the Market,mambae_ermera_graded_readers
Ami hola sasuit ba amá.,Aem al saua la mama,We got a comb for my mum.,mambae_ermera_graded_readers
Ami hola faru ba apá.,Aem al hara la papa,We got a shirt for my dad.,mambae_ermera_graded_readers
Ami hola vestidu ba avó-feto.,Aem al bistidun la abo hinen,We got a dress for my grandma.,mambae_ermera_graded_readers
Ami hola xapeu ba avó-mane.,Aem al sapeon la abo manen,We got a hat for my grandpa.,mambae_ermera_graded_readers
Ami hola kalsa-badak ba ha’u-nia maun.,Aem al kalsa blokon la au kaka manen,We got shorts for my brother.,mambae_ermera_graded_readers
Ami hola sapatu ba ha’u-nia biin.,Aem al sapatun la au kaka hinen,We got shoes for my sister.,mambae_ermera_graded_readers
Ami hola brinkedus ba ha’u-nia alin.,Aem al brinkerus la au alin,We got a toy for my baby brother.,mambae_ermera_graded_readers
Amá hola saia ida ba ha’u.,Mama al saian la au,We got a skirt for me.,mambae_ermera_graded_readers
Korta Dalan,Da kortan,Crossing the Road,mambae_ermera_graded_readers
Haree ba liman-karuk.,Ko man lima klaon la,Look to the left.,mambae_ermera_graded_readers
Haree ba liman-loos.,Ko man lima dlon la,Look to the right.,mambae_ermera_graded_readers
Karreta ida mai.,Kareta id ma,Here comes a car.,mambae_ermera_graded_readers
Para!,Para!,Stop!,mambae_ermera_graded_readers
Mikrolét ida mai.,Mikrolet id ma,Here comes a microlet.,mambae_ermera_graded_readers
Taxi ida mai.,Taksin id ma,Here comes a taxi.,mambae_ermera_graded_readers
Kamioneta ida mai.,Kamanetin id ma,Here comes a truck.,mambae_ermera_graded_readers
Motór ida mai.,Motor id ma,Here comes a motorbike.,mambae_ermera_graded_readers
Haree ba liman-loos.,Ko man lima koden la,Look to the right.,mambae_ermera_graded_readers
Agora ita bele bá ona.,Agora it leb to hei,We can go now.,mambae_ermera_graded_readers
Hanesan Ne’e,Man idia,Like This,mambae_ermera_graded_readers
Ha’u fase ha’u-nia liman,Au has au liman,I wash my hands,mambae_ermera_graded_readers
hanesan ne’e.,man idia,like this.,mambae_ermera_graded_readers
Ha’u fase ha’u-nia oin,Au has au ahen man idia,I wash my face,mambae_ermera_graded_readers
Ha’u hatais roupa,Au hut sanetan,I dress myself,mambae_ermera_graded_readers
Ha’u han matebixu,Au mu matabisun,I eat breakfast (I eat sasoru),mambae_ermera_graded_readers
Ha’u sui fuuk,Au sau ulun,I comb my hair,mambae_ermera_graded_readers
Ha’u kose ha’u-nia nehan,hau roes au nipan,I clean my teeth,mambae_ermera_graded_readers
Ha’u halo adeus,au pun adeus,I wave goodbye,mambae_ermera_graded_readers
Ha’u la’o ba eskola,Au lolai man iskolan la,I walk to school,mambae_ermera_graded_readers
"Tun, Sa’e","Du, Sae",Up and Down,mambae_ermera_graded_readers
Nia sa’e foho.,Ua sae hoh,He is going up the path (hill).,mambae_ermera_graded_readers
Nia tun husi eskada.,Ua du ni iskadan,She is going down the steps.,mambae_ermera_graded_readers
Nia sa’e eskada.,Ua sae iskadan,He is going up the ladder.,mambae_ermera_graded_readers
Nia sa’e ai.,Ua sae aia,He is going up the tree.,mambae_ermera_graded_readers
Nia tun husi foho.,Ua du ni hoha,She is going down the road (hill).,mambae_ermera_graded_readers
Nia tuur. Nia hamriik.,Ua kdei. Ua mri,He is sitting. She is standing.,mambae_ermera_graded_readers
"Sira tun-sa’e, tun-sa'e.","Rom du sae, du sae","They are going up and down, up and down.",mambae_ermera_graded_readers
Haree ba Leten. Haree ba kraik,Ko man teten la. Ko man suan la,Looking Up. Looking Down,mambae_ermera_graded_readers
Bainhira ha'u haree ba leten,Naha au ko man teten la,When I look up,mambae_ermera_graded_readers
ha'u haree kalohan.,Au et saba,I see the cloud.,mambae_ermera_graded_readers
Bainhira ha'u haree ba kraik,Naha au ko man suan la,When I look down,mambae_ermera_graded_readers
ha'u haree ai-funan.,Au et ai-hetun,I see a flower.,mambae_ermera_graded_readers
ha'u haree manu.,Au et mana,I see a bird.,mambae_ermera_graded_readers
ha'u haree nehek.,au et mauhara,I see an ant.,mambae_ermera_graded_readers
ha'u haree fulan.,au et hula,I see the moon.,mambae_ermera_graded_readers
ha'u haree sipu nia uma.,au et sipu ni padan,I see a shell.,mambae_ermera_graded_readers
ha'u haree loron matan.,Au et lel matan,I see the sun.,mambae_ermera_graded_readers
ha'u haree ha'u-nia lalatak.,Au et au latan,I see my shadow.,mambae_ermera_graded_readers
Kaixa Ne'e,Kaisa kid ia,The Box,mambae_ermera_graded_readers
Kaixa ne'e mak karreta.,Kaisa kid ia pe kareta,This box is a car.,mambae_ermera_graded_readers
"Lae, kaixa ne'e mak ro.","Banoi, kaisa kid ia pe proa","No, this box is a boat.",mambae_ermera_graded_readers
"Lae, kaixa ne'e mak toba fatin. ","Banoi, kaisa kid ia pe bue hatin","No, this box is a bed.",mambae_ermera_graded_readers
"Lae, kaixa ne'e mak almari. ","Banoi, kaisa kid ia pe armarin","No, this box is a cupboard.",mambae_ermera_graded_readers
"Lae, kaixa ne'e mak sipu nia uma. ","Banoi, kaisa kid ia pe sipu nia padan","No, this box is a shell.",mambae_ermera_graded_readers
"Lae, kaixa ne'e mak babadok. ","Banoi, kaisa kid ia pe dudbaua","No, this box is a drum.",mambae_ermera_graded_readers
"Lae, kaixa ne'e mak kadeira. ","Banoi, kaisa kid ia pe kaderan","No, this box is a seat for me.",mambae_ermera_graded_readers
"Lae, kaixa ne'e aat ona.","Banoi, kaisa kid ia klao bel soi","No, this box is broken.",mambae_ermera_graded_readers
Nia haree sa'ida?,Ua ko sapa nid?,The rock pool (what can he see?),mambae_ermera_graded_readers
Nia haree ba tasi.,Ua ko mantaesa la,He can see the big rock pool.,mambae_ermera_graded_readers
Nia haree ikan ki'ik.,Ua ko ika anan,He can see a little fish.,mambae_ermera_graded_readers
Nia haree kadiuk boot.,Ua ko kadiuk tun,"He can see a big crab, too.",mambae_ermera_graded_readers
Nia haree sipu ki'ik.,Ua ko sipu anan,He can see a little snail.,mambae_ermera_graded_readers
Nia haree boek boot.,Ua ko lur tun,"He can see a big lobster, too.",mambae_ermera_graded_readers
Nia haree fitun tasi ki'ik.,Ua ko huit taesa ankanan,He can see a little starfish.,mambae_ermera_graded_readers
Nia haree kurita boot.,Ua ko kuritan tun,"He can see a big anemone, too.",mambae_ermera_graded_readers
Nia haree animál tasi hotu.,Ua ko animal taesa nin hled,He can see all the animals.,mambae_ermera_graded_readers
Iha Ne'ebé?,Her bae?,Where are they?,mambae_ermera_graded_readers
Lapiseira iha-ne'e.,Lapizeran her bae?,The pencils are in here.,mambae_ermera_graded_readers
Livru iha-ne'e.,Livrun her bae?,The books are on here.,mambae_ermera_graded_readers
Karreta iha-ne'e.,Kareta her bae?,The cars are in here.,mambae_ermera_graded_readers
Pasta iha-ne'e.,Pastan her bae?,The bags are up here.,mambae_ermera_graded_readers
Pinsel iha-ne'e.,Pinsel her bae?,The brushes are in here.,mambae_ermera_graded_readers
Boneka iha-ne'e.,Bonekan her ia,The toys are on here.,mambae_ermera_graded_readers
BLOCKS iha-ne'e.,Blocks her ia,The blocks are in here.,mambae_ermera_graded_readers
Labarik sira iha-ne'e.,Loba seria her ia,The children are on here and under here.,mambae_ermera_graded_readers
Labadain nia loron sorte,Lagloea ni lelo koden,Spider's Lucky Day,mambae_ermera_graded_readers
Haree Labadain.,Ko lagloea,Look at Spider.,mambae_ermera_graded_readers
Labadain iha labadain laran.,Lagloea her lagloea lalan,Spider is in the web.,mambae_ermera_graded_readers
Labadain hamlaha.,Lagloea beli,Spider is hungry.,mambae_ermera_graded_readers
Susuk ida mai.,Susuk id ma,Here comes a mosquito.,mambae_ermera_graded_readers
Susuk ne'e bá fali.,Susuk kid ia la hel,Away goes the mosquito.,mambae_ermera_graded_readers
Bani ida mai.,Aena id ma,Here comes a bee.,mambae_ermera_graded_readers
Bani ne'e bá fali.,Aen id ia la hel,Away goes the bee.,mambae_ermera_graded_readers
Lalar ida mai.,Lalan id ma,Here comes a fly.,mambae_ermera_graded_readers
Lalar iha labadain laran.,Lalan her lagloea lalan,The fly is in the web.,mambae_ermera_graded_readers
Labadain hamlaha haan lalar ne'e.,Lagloea beli mu lala kid ia,The fly is for hungry spider.,mambae_ermera_graded_readers
Sa'e Ro,Sae proa,The Boat Adventure,mambae_ermera_graded_readers
Lekirauk iha ro.,Lera her proa,Monkey is in the boat.,mambae_ermera_graded_readers
Manu inan ida mai.,Man-inan id ma,Here comes Hen.,mambae_ermera_graded_readers
Manu inan iha ro.,Man-inan her proa,Hen is in the boat.,mambae_ermera_graded_readers
Manu-rade mai.,Man-raeda ma,Here comes Duck.,mambae_ermera_graded_readers
Manu-rade mós iha ro.,Man-raeda met her proa,"Duck is in the boat, too.",mambae_ermera_graded_readers
Karau mai.,Arbaua ma,Here comes Cow.,mambae_ermera_graded_readers
"""La bele! Karau! La bele! ,"" ","Baleb! Arbaua! Baleb!',","""No! Cow! No! ,"" ",mambae_ermera_graded_readers
"dehan manu inan, manu-rade, ho lekirauk.","Man inan, man-raeda nor lera dale",said Hen and Duck and Monkey.,mambae_ermera_graded_readers
Aiiii!,Bee!,"Oh, No!",mambae_ermera_graded_readers
"Manu inan, manu-rade, lekirauk ho karau ","Man Inan, man raeda, lera nor arbaua",Hen and Duck and Monkey and Cow,mambae_ermera_graded_readers
la'os iha ro.,badlo her proa,are not in the boat!,mambae_ermera_graded_readers
Sa'e Bis,Sae bis,The Bus Ride,mambae_ermera_graded_readers
Bis para.,Bis Para,The Bus stops.,mambae_ermera_graded_readers
Manu ida sa'e.,Mana id sae,A chicken gets on.,mambae_ermera_graded_readers
Bibi ida sa'e.,Biba id sae,A goat gets on.,mambae_ermera_graded_readers
Lekirauk ida sa'e.,Lera id sae,On gets a monkey.,mambae_ermera_graded_readers
Fahi ida sa'e.,Haeha id sae,On gets a pig.,mambae_ermera_graded_readers
Samodok ida sa'e.,Samora id sae,A snake gets on.,mambae_ermera_graded_readers
Manu ho bibi tun.,Mana nor biba du,The chicken and the goat get off.,mambae_ermera_graded_readers
Lekirauk ho fahi tun.,Lera nor haeha du,The monkey and the pig get off.,mambae_ermera_graded_readers
Samodok iha bis nafatin.,samora her bel bis nahati,The snake stays on the bus.,mambae_ermera_graded_readers
Asu Iha-ne'ebé?,Asa her bae?,Where is Fido?,mambae_ermera_graded_readers
Asu iha-ne'ebé?,Asa her bae?,Where is Fido?,mambae_ermera_graded_readers
Nia iha meja okos?,Ua her mes suan?,Is he under the table?,mambae_ermera_graded_readers
Lae.,Banoi.,No.,mambae_ermera_graded_readers
Nia iha toba fatin?,Ua her bua hatin?,Is he in the bed?,mambae_ermera_graded_readers
Nia iha eskada leten?,Ua her iskada teten?,Is he up the ladder?,mambae_ermera_graded_readers
Nia iha odamatan nia kotuk?,Ua her damata hohon?,Is he behind the door?,mambae_ermera_graded_readers
Nia iha dindin nia kotuk?,Ua her lig hohon?,Is he over the wall?,mambae_ermera_graded_readers
Nia iha ai laran?,Ua her ailalan,Is he between the trees?,mambae_ermera_graded_readers
Nia iha ne'ebé?,Ua her bae?,Where is he?,mambae_ermera_graded_readers
Asu iha-ne'e,Asa her ia,Here is Fido.,mambae_ermera_graded_readers
Nia iha uma okos.,Ua her pad suan,He is under the house.,mambae_ermera_graded_readers
Manu-rade Inan ho nia Oan,Man-raeda inan nor ni anan,Mother Duck and the ducklings,mambae_ermera_graded_readers
Manu-rade inan mai.,Man-raeda inan ma,Here comes Mother Duck.,mambae_ermera_graded_readers
"""Mai oan-sira. ",Ma hei au anan ro.,"""Come on, ducklings. ",mambae_ermera_graded_readers
"Mai,"" manu-rade inan dehan.","Ma,'man-raed inan dale","Come on,"" said Mother Duck.",mambae_ermera_graded_readers
Aiii!,Bee!,"Oh, No! ",mambae_ermera_graded_readers
Busa ida mai.,Busan id ma,Here comes a cat.,mambae_ermera_graded_readers
"""Mai, oan-sira. Mai,"" ","Ma, au anan ro. Ma,'","""Come here, ducklings. Come here,""",mambae_ermera_graded_readers
manu-rade inan dehan.,Man-raed inan dale.,said Mother Duck.,mambae_ermera_graded_readers
Manu-rade nia oan tuir manu-rade inan.,Man-raeda ni anan hdel man-raed inan,The ducklings come to Mother Duck.,mambae_ermera_graded_readers
"Bá, oan-sira, bá.","La hei, au anan ro, la hei.","Go, ducklings, go.",mambae_ermera_graded_readers
Busa mai fali.,Busan ma hel.,Here comes the cat.,mambae_ermera_graded_readers
Manu-rade inan ho nia oan seguru.,Man-raed inan nor ni anan tama dlo.,Mother Duck and the ducklings are safe.,mambae_ermera_graded_readers
Fernando Nia Dalan,Fernando ni dan,Fernando's Road,mambae_ermera_graded_readers
"""Ne'e ha'u-nia dalan,""",Idia au dan',"""Here is my road,""",mambae_ermera_graded_readers
Fernando dehan.,Fernando dale,said Fernando.,mambae_ermera_graded_readers
"""Ne'e ha'u-nia karreta,""",Idia au karetan',"""Here is my car,""",mambae_ermera_graded_readers
Fernando dehan.,Fernando dale.,said Fernando.,mambae_ermera_graded_readers
"""Ha'u-nia karreta iha dalan,""",Au karetan her da',"""My car is on the road,""",mambae_ermera_graded_readers
"Haree ha'u-nia Kamioneta, ","Ko au kamanetin,","""Look at my truck,"" ",mambae_ermera_graded_readers
"""Haree ha'u-nia motór,"" ",Ko au motor',"""Look at my motorbike,"" ",mambae_ermera_graded_readers
"""Ha'u-nia kamioneta ",Au kamanetin,"""My truck ",mambae_ermera_graded_readers
ho ha'u-nia karreta,nor au karetan,and my car,mambae_ermera_graded_readers
"iha dalan,"" Fernando dehan.","her da,'Fernando dale.","are on the road,"" said Fernando.",mambae_ermera_graded_readers
"""Ha'u-nia motór",Au motor,"""My motorbike",mambae_ermera_graded_readers
ho ha'u-nia kamioneta,nor Au kamanetin,and my truck,mambae_ermera_graded_readers
"iha dalan,"" Fernando dehan. ","her da,'Fernando dale.","are on the road,"" said Fernando.",mambae_ermera_graded_readers
"""Haree ha'u-nia motór",Ko au motor,"""Look at my motorbike",mambae_ermera_graded_readers
no ha'u-nia karreta,nor au karetan,and my car,mambae_ermera_graded_readers
"no ha'u-nia kamioneta,"" Fernando dehan.","nor au kamanetin,'Fernando dale.","and my truck,"" said Fernando.",mambae_ermera_graded_readers
Bá Kompras,La al sana,Going Shopping,mambae_ermera_graded_readers
Amá bá kompras.,Ama la al sana,Mum is going shopping.,mambae_ermera_graded_readers
Carlos bá kompras,Carlos la al sana,Carlos is going shopping,mambae_ermera_graded_readers
ho Amá.,nor Ama.,with Mum.,mambae_ermera_graded_readers
"""Pateka iha-ne'e,""",Patekan her ia',"""The watermelon is here,""",mambae_ermera_graded_readers
Carlos dehan.,Carlos dale.,said Carlos.,mambae_ermera_graded_readers
"""Ikan iha-ne'e,""","Ikan her ia',","""The fish are here,""",mambae_ermera_graded_readers
Amá dehan.,Ama dale,said Mum.,mambae_ermera_graded_readers
"""Fehuk midar iha-ne'e,""","Sekar her ia,'","""Here are the sweet potatoes,""",mambae_ermera_graded_readers
"""Liis boot iha-ne'e,"" Amá dehan.","Leison tun her ia,' Ama dale.","""The onions are here,"" said Mum.",mambae_ermera_graded_readers
"""Batar iha-ne'e,"" Carlos dehan. ","Sela her ia,' Carlos dale.","""Here is the corn,"" said Carlos.",mambae_ermera_graded_readers
"""Foos iha-ne'e,"" Amá dehan. ","Mea her ia,; Ama dale.","""Here is the rice,"" said Mum. ",mambae_ermera_graded_readers
Carlos ho Amá fila bá uma,Carlos nor Ama hael hel man pada la,Carlos and mum went home,mambae_ermera_graded_readers
ho hahaan ne'ebé sira hola.,nor sanmua ser rom al ua.,with the shopping.,mambae_ermera_graded_readers
Iha Dadeersaan,Her busan.,In the Morning,mambae_ermera_graded_readers
Loro-matan sa'e.,Lel matan sae.,The sun comes up.,mambae_ermera_graded_readers
Manu-aman hadeer.,Man-aman ble.,The rooster wakes up.,mambae_ermera_graded_readers
Nia haree loro-matan.,Ua ko lel matan.,He sees the sun.,mambae_ermera_graded_readers
"""Hadeer,"" manu-aman dehan.","Ble,' man-aman dale.","""Wake up,"" says the rooster.",mambae_ermera_graded_readers
"""Hadeer, hadeer.""","Ble, Ble.'","""Wake up, wake up.""",mambae_ermera_graded_readers
Karau hadeer.,Arbau Ble.,The cow wakes up.,mambae_ermera_graded_readers
Fahi hadeer.,Haeha Ble.,The pigs wake up.,mambae_ermera_graded_readers
Bibi hadeer.,Biba Ble.,The goats wake up.,mambae_ermera_graded_readers
Manu-inan ho nia oan hadeer.,Man-inan nor ni anan ble.,The hens and the chickens wake up.,mambae_ermera_graded_readers
To'os-na'in mós hadeer.,Nam ubun met ble.,"The farmer wakes up, too.",mambae_ermera_graded_readers
Laho Ki'ik Seguru,Lah kruman tama dlo.,Little Mouse is Safe,mambae_ermera_graded_readers
Laho ki'ik toba.,Lah kruman bue.,Little Mouse is sleeping.,mambae_ermera_graded_readers
Laho ki'ik nia inan toba.,Lah kruman ni inan bue.,Mother Mouse is sleeping.,mambae_ermera_graded_readers
Laho ki'ik hadeer.,Lah kruman ble.,Little Mouse wakes up.,mambae_ermera_graded_readers
Nia haree ninia inan.,Ua ko ni inan,He looks at Mother Mouse.,mambae_ermera_graded_readers
Laho ki'ik hamlaha.,Lah kruman beli.,Little Mouse is hungry.,mambae_ermera_graded_readers
Nia haree ba liur.,Ua ko sai hohon la.,He looks out.,mambae_ermera_graded_readers
Nia haree busa!,Ua ko busan!,He sees a cat!,mambae_ermera_graded_readers
Busa ne'e hamlaha.,Busa kid ia beli.,The cat is hungry.,mambae_ermera_graded_readers
Laho ki'ik seguru,Lah kruman tama dlo,Little Mouse is safe,mambae_ermera_graded_readers
hamutuk ho nia inan,put nor ni inan,with Mother Mouse,mambae_ermera_graded_readers
iha uma.,her pada.,at home.,mambae_ermera_graded_readers
Soke Malu,Soke ro.,The Accident,mambae_ermera_graded_readers
Pedro iha roda.,Pedro her rodan.,Pedro has a hoop.,mambae_ermera_graded_readers
Fernando iha roda.,Fernando her rodan.,Fernando has a hoop.,mambae_ermera_graded_readers
Pedro mai ona.,Pedro ma soi.,Here comes Pedro.,mambae_ermera_graded_readers
Ninia roda lao lalais los.,Ua rodan lolai biu dlo.,His hoop goes fast.,mambae_ermera_graded_readers
Fernando mai ona.,Fernando ma soi.,Here comes Fernando.,mambae_ermera_graded_readers
Roda lao lalais liu tan.,Rodan lolai biu tan,The hoops go faster.,mambae_ermera_graded_readers
Kuidadu!,Kuidadu!,Look out!,mambae_ermera_graded_readers
Soke malu!,Soke ro!,Crash!,mambae_ermera_graded_readers
Roda para.,Rodan para.,The hoops stop.,mambae_ermera_graded_readers
Pedro ho Fernando mós para.,Pedro nor fernando met para.,"Pedro and Fernando stop, too",mambae_ermera_graded_readers
Iha Kalan ho Loron,Her hodan nor namadan,At night,mambae_ermera_graded_readers
Fulan sa'e ona.,Hula sae soi.,The  moon  is  up.,mambae_ermera_graded_readers
Laho la toba.,Laha ba bue.,The  mouse  is  not  asleep.,mambae_ermera_graded_readers
Kakuuk la toba.,Kuka ba bue.,The  owl  is  not  asleep.,mambae_ermera_graded_readers
Niki la toba.,Knika ba bue.,The  bat  is  not  asleep.,mambae_ermera_graded_readers
Loron komesa sa'e.,Lela komesa sae.,Here  comes  the  sun.,mambae_ermera_graded_readers
Laho ho kakuuk,Laha nor kuka,The  mouse  and  the  owl,mambae_ermera_graded_readers
toba ona.,Bue soi.,go  to  sleep.,mambae_ermera_graded_readers
Niki mós toba ona.,Knika met bue soi.,"The  bat  goes  to  sleep, too.",mambae_ermera_graded_readers
Loron sa'e ona.,Lela sae soi,The  sun  is  up.,mambae_ermera_graded_readers
Amá nia Sapeu Lakon,Ama nia sapeon lako,Mum's lost hat,mambae_ermera_graded_readers
"""Ha'u buka ha'u-nia sapeu,""",Au nae au sapeon',"  “I  am  looking  for  my  hat,”",mambae_ermera_graded_readers
amá dehan.,Ama dale.,said  Mum.,mambae_ermera_graded_readers
"""O bele haree ha'u-nia sapeu, Bitu ?""","O leb et au sapeon, Bitu?'","   ""Can  you  see  my  hat,  Jimmy ?”",mambae_ermera_graded_readers
amá husu.,Ama tug.,said  Mum.,mambae_ermera_graded_readers
"""Lae, dehan Bitu.","Banoi, Bitu dale.","“No,”  said  Jimmy.",mambae_ermera_graded_readers
"Ha'u la haree amá nia sapeu.""",Au ba et ama ni sapeon id'.,“I  can  not  see  your  hat.”,mambae_ermera_graded_readers
"""La'os iha-ne'e,"" amá dehan. ","Badlo her ia,'ama dale."," “It  is  not  in  here,”  said  Mum.",mambae_ermera_graded_readers
"""La'os iha-ne'e,"" Bitu dehan.","Badlo her ia,'Bitu dale."," “It  is  not  up  here,” said  Jimmy.",mambae_ermera_graded_readers
"""La'os iha-ne'e,"" amá dehan.","Badlo her ia,'ama dale."," “It  is  not  on  here,” said  Mum.",mambae_ermera_graded_readers
"""Ha'u-nia sapeu iha-ne'ebé ?""",Au sapeon her bae?',“Where  is  my  hat ?”,mambae_ermera_graded_readers
"Bitu dehan, ""amá, ha'u la haree ita-nia sapeu.""","Bitu dale, 'Ama, au ba et o sapeon id'.","  Jimmy  said, “ I  can  not  see  your  hat,  Mum.”",mambae_ermera_graded_readers
"Amá dehan, ""Haree tok !","Ama dale,'Ko tnaer!","Mum  said, “ Oh, look !",mambae_ermera_graded_readers
"Ha'u-nia sapeu iha-ne'e !""",Au sapeon her ia !',Here  is  my  hat !”,mambae_ermera_graded_readers
"Bitu dehan, ","Bitu dale,","“Here  is  my  hat, too,”",mambae_ermera_graded_readers
"""Ha'u-nia sapeu mós iha-ne'e.""",Au sapeon met her ia.',said  Jimmy.,mambae_ermera_graded_readers
bola,bolan,ball,english-mambae-tetun(updated 2014-09-21)
tasi,taesa,beach,english-mambae-tetun(updated 2014-09-21)
livru,librun,book,english-mambae-tetun(updated 2014-09-21)
matebixu,matabisun,breakfast,english-mambae-tetun(updated 2014-09-21)
maun,kakak,brother (older),english-mambae-tetun(updated 2014-09-21)
alin mane,alin [mane (?)],brother (younger),english-mambae-tetun(updated 2014-09-21)
kose,roes,brush (v),english-mambae-tetun(updated 2014-09-21)
bele,leb,can (v),english-mambae-tetun(updated 2014-09-21)
busa,busan,cat,english-mambae-tetun(updated 2014-09-21)
igreja,igrezan,church,english-mambae-tetun(updated 2014-09-21)
sae,sebel,climb,english-mambae-tetun(updated 2014-09-21)
ropa,sanetan,clothing,english-mambae-tetun(updated 2014-09-21)
sasuit,sau,comb,english-mambae-tetun(updated 2014-09-21)
batar,huan,corn,english-mambae-tetun(updated 2014-09-21)
karau,arbauwa,cow,english-mambae-tetun(updated 2014-09-21)
tanis,sero,cry (weep),english-mambae-tetun(updated 2014-09-21)
papa,apa,dad,english-mambae-tetun(updated 2014-09-21)
dotór/doutór,dotor,doctor,english-mambae-tetun(updated 2014-09-21)
asu,asa,dog,english-mambae-tetun(updated 2014-09-21)
odamatan,damatan,door,english-mambae-tetun(updated 2014-09-21)
manu-rade,manreda,duck,english-mambae-tetun(updated 2014-09-21)
vestidu,bistidu,dress (n),english-mambae-tetun(updated 2014-09-21)
hatais,hut,dress (v),english-mambae-tetun(updated 2014-09-21)
han (haan),mu,eat,english-mambae-tetun(updated 2014-09-21)
oin,paulolon,face,english-mambae-tetun(updated 2014-09-21)
ai funan,aihetun,flower(s),english-mambae-tetun(updated 2014-09-21)
jardin,jardin,garden,english-mambae-tetun(updated 2014-09-21)
hola,al,get,english-mambae-tetun(updated 2014-09-21)
bibi,biba,goat,english-mambae-tetun(updated 2014-09-21)
avo feto,avo hine,grandma,english-mambae-tetun(updated 2014-09-21)
avo mane,avo mane,grandpa,english-mambae-tetun(updated 2014-09-21)
fuuk,ulun,hair,english-mambae-tetun(updated 2014-09-21)
liman,liman,hand(s),english-mambae-tetun(updated 2014-09-21)
xapeu,sapeo,hat,english-mambae-tetun(updated 2014-09-21)
manu-inan,man inan,hen,english-mambae-tetun(updated 2014-09-21)
uma,pada,house,english-mambae-tetun(updated 2014-09-21)
hakuak,kuh,hug,english-mambae-tetun(updated 2014-09-21)
hau,au,I/me,english-mambae-tetun(updated 2014-09-21)
hamnasa,gnina,laugh,english-mambae-tetun(updated 2014-09-21)
gosta,gosta,like,english-mambae-tetun(updated 2014-09-21)
haree,koman,look,english-mambae-tetun(updated 2014-09-21)
mercado/basar,mercado,market,english-mambae-tetun(updated 2014-09-21)
mama,ama,mum,english-mambae-tetun(updated 2014-09-21)
dalan,da lolain,path,english-mambae-tetun(updated 2014-09-21)
fahi,haeha,pig,english-mambae-tetun(updated 2014-09-21)
lee,istuda,read,english-mambae-tetun(updated 2014-09-21)
uma-kakuluk,pada ni ulun,roof (of a house),english-mambae-tetun(updated 2014-09-21)
manu-aman,mana man,rooster,english-mambae-tetun(updated 2014-09-21)
halai,pler,run,english-mambae-tetun(updated 2014-09-21)
eskola,eskolan,school,english-mambae-tetun(updated 2014-09-21)
faru,har,shirt,english-mambae-tetun(updated 2014-09-21)
sapatu,sapatu,shoes,english-mambae-tetun(updated 2014-09-21)
kalsa badak,kalsa bloko,shorts,english-mambae-tetun(updated 2014-09-21)
hakilar,kriso,shout,english-mambae-tetun(updated 2014-09-21)
